Time (s),GPU Power (W),PDU Power (W)
0.0,16.97,86.0
0.2,16.97,88.0
0.3,16.93,88.0
0.5,16.93,88.0
0.6,16.93,88.0
0.8,16.93,86.0
0.9,16.93,86.0
1.0,16.93,86.0
1.2,16.93,92.0
1.3,17.02,92.0
1.5,17.02,92.0
1.6,17.02,92.0
1.8,17.02,90.0
1.9,17.02,90.0
2.0,17.02,90.0
2.2,17.02,92.0
2.3,16.97,92.0
2.5,16.97,92.0
2.6,17.33,92.0
2.8,17.77,88.0
2.9,18.13,88.0
3.0,18.7,88.0
3.2,18.93,98.0
3.3,19.32,98.0
3.5,21.82,98.0
3.6,21.9,98.0
3.8,21.9,96.0
3.9,21.9,96.0
4.0,21.9,96.0
4.2,21.9,90.0
4.3,21.9,90.0
4.5,21.9,90.0
4.6,17.87,90.0
4.8,17.87,90.0
4.9,17.87,90.0
5.0,17.87,90.0
5.2,18.22,92.0
5.3,25.68,92.0
5.5,28.78,92.0
5.6,49.24,92.0
5.8,52.14,175.0
5.9,56.95,175.0
6.1,58.8,175.0
6.2,94.38,178.0
6.4,103.97,178.0
6.5,115.09,178.0
6.6,142.61,178.0
6.8,156.63,259.0
6.9,183.42,259.0
7.1,196.85,337.0
7.2,224.09,337.0
7.4,229.68,337.0
7.5,235.39,337.0
7.7,235.66,337.0
7.8,235.8,350.0
7.9,235.81,350.0
8.1,236.65,350.0
8.2,237.16,350.0
8.4,237.25,350.0
8.5,238.07,350.0
8.7,238.05,350.0
8.8,238.16,350.0
8.9,238.47,350.0
9.1,238.06,353.0
9.2,238.71,353.0
9.4,238.75,353.0
9.5,238.7,353.0
9.7,238.88,353.0
9.8,239.15,352.0
9.9,239.65,352.0
10.1,239.91,352.0
10.2,240.46,352.0
10.4,240.57,352.0
10.5,241.06,352.0
10.7,241.18,352.0
10.8,241.15,355.0
10.9,241.28,355.0
11.1,241.38,355.0
11.2,241.72,355.0
11.4,241.85,355.0
11.5,224.82,355.0
11.7,211.86,355.0
11.8,186.78,345.0
12.0,174.05,345.0
12.1,160.84,234.0
12.2,135.21,234.0
12.4,122.41,234.0
12.5,122.41,234.0
12.7,122.41,234.0
12.8,122.41,179.0
12.9,122.41,179.0
13.1,122.41,183.0
13.2,122.41,183.0
13.4,98.74,183.0
13.5,98.74,183.0
13.7,98.74,183.0
13.8,98.74,174.0
13.9,98.74,174.0
14.1,98.74,161.0
14.2,98.74,161.0
14.4,91.36,161.0
14.5,91.36,161.0
14.6,91.36,161.0
14.8,91.36,160.0
14.9,91.36,160.0
15.1,91.36,163.0
15.2,91.36,163.0
15.4,84.3,163.0
15.5,84.3,163.0
15.6,84.3,163.0
15.8,84.3,167.0
15.9,84.3,167.0
16.1,84.3,160.0
16.2,84.3,160.0
16.3,84.52,160.0
16.5,84.52,160.0
16.6,84.52,160.0
16.8,84.52,160.0
16.9,84.64,160.0
17.1,84.64,160.0
17.2,84.64,160.0
17.3,84.64,160.0
17.5,84.7,160.0
17.6,84.69,160.0
17.8,84.7,163.0
17.9,84.71,163.0
18.1,84.71,163.0
18.2,84.71,163.0
18.3,84.71,164.0
18.5,84.71,164.0
18.6,84.71,164.0
18.8,84.71,162.0
18.9,84.78,162.0
19.1,84.78,162.0
19.2,84.78,162.0
19.3,84.78,162.0
19.5,84.78,162.0
19.6,84.78,162.0
19.8,84.78,166.0
19.9,84.71,166.0
20.0,84.71,166.0
20.2,84.71,166.0
20.3,84.71,165.0
20.5,84.71,165.0
20.6,84.71,165.0
20.8,84.71,163.0
20.9,84.64,163.0
21.0,84.64,163.0
21.2,84.64,163.0
21.3,84.64,162.0
21.5,84.64,162.0
21.6,84.64,162.0
21.8,84.64,166.0
21.9,84.65,166.0
22.0,84.65,166.0
22.2,84.65,166.0
22.3,84.65,164.0
22.5,84.65,164.0
22.6,84.65,164.0
22.8,84.65,166.0
22.9,84.7,166.0
23.0,84.7,166.0
23.2,84.7,166.0
23.3,84.7,161.0
23.5,84.7,161.0
23.6,84.7,161.0
23.7,84.7,161.0
23.9,84.76,161.0
24.0,84.76,161.0
24.2,84.78,161.0
24.3,84.78,167.0
24.5,84.78,167.0
24.6,84.79,167.0
24.7,84.76,162.0
24.9,84.76,162.0
25.0,84.76,162.0
25.2,84.76,162.0
25.3,84.76,166.0
25.4,84.76,166.0
25.6,84.76,166.0
25.7,84.76,163.0
25.9,84.76,163.0
26.0,84.67,163.0
26.2,84.67,163.0
26.3,84.67,165.0
26.4,84.67,165.0
26.6,84.67,165.0
26.7,84.67,160.0
26.9,84.67,160.0
27.0,84.65,160.0
27.2,84.65,160.0
27.3,84.65,161.0
27.4,84.65,161.0
27.6,84.65,161.0
27.7,84.65,163.0
27.9,84.65,163.0
28.0,78.16,163.0
28.2,78.16,163.0
28.3,78.16,118.0
28.4,78.16,118.0
28.6,78.16,118.0
28.7,78.16,97.0
28.9,78.16,97.0
29.0,45.38,97.0
29.1,45.38,97.0
29.3,45.38,89.0
29.4,45.38,89.0
29.6,45.38,89.0
29.7,45.38,93.0
29.9,45.38,93.0
30.0,17.97,93.0
30.1,17.97,93.0
30.3,17.97,91.0
30.4,17.97,91.0
30.6,17.97,91.0
30.7,17.97,92.0
30.9,17.97,92.0
31.0,17.16,92.0
31.1,17.16,92.0
31.3,17.79,91.0
31.4,18.43,91.0
31.6,18.79,91.0
31.7,19.38,94.0
31.8,19.62,94.0
32.0,19.84,94.0
32.1,22.71,94.0
32.3,22.8,94.0
32.4,22.8,101.0
32.6,22.8,101.0
32.7,22.8,95.0
32.8,22.8,95.0
33.0,22.8,95.0
33.1,22.8,95.0
33.3,17.9,95.0
33.4,17.9,92.0
33.5,17.9,92.0
33.7,17.9,89.0
33.8,17.9,89.0
34.0,17.9,89.0
34.1,17.9,89.0
34.3,17.28,89.0
34.4,17.28,92.0
34.5,17.28,92.0
34.7,17.28,89.0
34.8,17.28,89.0
35.0,17.28,89.0
35.1,17.28,89.0
35.2,17.18,89.0
35.4,17.18,94.0
35.5,17.18,94.0
35.7,17.18,89.0
35.8,17.18,89.0
36.0,17.18,89.0
36.1,17.18,89.0
36.2,17.16,89.0
36.4,17.16,87.0
