Time (s),GPU Power (W),PDU Power (W)
0.0,17.19,85.0
0.2,17.19,79.0
0.3,17.19,79.0
0.5,17.19,79.0
0.6,17.19,79.0
0.8,17.24,91.0
0.9,17.43,91.0
1.0,17.82,91.0
1.2,18.45,87.0
1.3,18.7,87.0
1.5,18.93,87.0
1.6,19.29,87.0
1.7,19.44,95.0
1.9,21.68,95.0
2.0,21.68,95.0
2.2,21.68,90.0
2.3,21.68,90.0
2.5,21.68,90.0
2.6,21.68,90.0
2.8,21.68,86.0
2.9,17.54,86.0
3.0,17.54,86.0
3.2,17.54,90.0
3.3,17.54,90.0
3.5,17.54,90.0
3.6,17.54,90.0
3.8,17.54,87.0
3.9,17.06,87.0
4.0,17.06,87.0
4.2,17.06,87.0
4.3,17.06,87.0
4.5,17.06,89.0
4.6,17.06,89.0
4.8,17.06,86.0
4.9,17.01,86.0
5.0,17.01,86.0
5.2,21.42,86.0
5.3,25.86,86.0
5.5,29.69,90.0
5.6,35.92,90.0
5.8,38.53,155.0
5.9,42.94,155.0
6.1,70.36,155.0
6.2,82.47,155.0
6.3,83.42,155.0
6.5,97.28,181.0
6.6,109.54,181.0
6.8,147.15,248.0
6.9,166.63,248.0
7.1,186.43,248.0
7.2,225.37,248.0
7.4,244.34,415.0
7.5,282.02,415.0
7.6,289.21,415.0
7.8,297.22,418.0
7.9,298.03,418.0
8.1,298.15,418.0
8.2,298.32,418.0
8.4,298.25,417.0
8.5,298.59,417.0
8.6,299.0,417.0
8.8,299.3,418.0
8.9,299.06,418.0
9.1,292.76,418.0
9.2,274.48,418.0
9.4,256.14,332.0
9.5,219.36,332.0
9.6,190.95,332.0
9.8,164.53,193.0
9.9,145.79,193.0
10.1,128.27,193.0
10.2,128.27,193.0
10.4,128.27,178.0
10.5,128.27,178.0
10.6,128.27,178.0
10.8,128.27,175.0
10.9,128.27,175.0
11.1,94.5,175.0
11.2,94.5,175.0
11.3,94.5,167.0
11.5,94.5,167.0
11.6,94.5,167.0
11.8,94.5,161.0
11.9,94.5,161.0
12.1,88.96,161.0
12.2,88.96,161.0
12.3,88.96,162.0
12.5,88.96,162.0
12.6,88.96,162.0
12.8,88.96,156.0
12.9,88.96,156.0
13.0,83.68,156.0
13.2,83.68,156.0
13.3,83.68,159.0
13.5,83.68,159.0
13.6,83.68,159.0
13.8,83.68,161.0
13.9,83.68,161.0
14.0,83.62,161.0
14.2,83.62,161.0
14.3,83.62,160.0
14.5,83.62,160.0
14.6,83.62,160.0
14.8,83.62,160.0
14.9,83.62,160.0
15.0,83.64,160.0
15.2,83.64,160.0
15.3,83.74,160.0
15.5,83.75,156.0
15.6,83.76,156.0
15.7,83.77,163.0
15.9,83.76,163.0
16.0,83.76,163.0
16.2,83.8,163.0
16.3,84.32,163.0
16.5,84.94,164.0
16.6,87.52,164.0
16.8,88.79,177.0
16.9,91.3,177.0
17.0,92.54,177.0
17.2,95.04,177.0
17.3,96.2,176.0
17.5,97.08,176.0
17.6,97.69,176.0
17.8,97.69,179.0
17.9,97.69,179.0
18.0,97.69,179.0
18.2,97.69,179.0
18.3,97.69,179.0
18.5,93.84,179.0
18.6,93.84,179.0
18.8,93.84,171.0
18.9,93.84,171.0
19.0,93.84,171.0
19.2,93.84,171.0
19.3,93.84,160.0
19.5,88.61,160.0
19.6,88.61,160.0
19.8,88.61,159.0
19.9,88.61,159.0
20.0,88.61,159.0
20.2,88.61,159.0
20.3,88.61,164.0
20.5,83.9,164.0
20.6,83.9,164.0
20.8,83.9,157.0
20.9,83.9,157.0
21.0,83.9,157.0
21.2,83.9,157.0
21.3,83.9,159.0
21.5,84.0,159.0
21.6,84.0,159.0
21.8,84.0,160.0
21.9,84.0,160.0
22.0,84.0,160.0
22.2,84.0,160.0
22.3,84.0,159.0
22.5,84.04,159.0
22.6,84.11,159.0
22.8,84.14,162.0
22.9,84.15,162.0
23.0,84.15,162.0
23.2,84.16,162.0
23.3,84.18,160.0
23.5,84.19,160.0
23.6,84.19,160.0
23.8,84.19,163.0
23.9,84.19,163.0
24.1,84.19,163.0
24.2,84.19,163.0
24.3,84.19,162.0
24.5,84.17,162.0
24.6,84.17,162.0
24.8,84.17,163.0
24.9,84.17,163.0
25.1,84.17,163.0
25.2,84.17,163.0
25.3,84.17,161.0
25.5,84.18,161.0
25.6,84.18,161.0
25.8,84.18,163.0
25.9,84.18,163.0
26.1,84.18,163.0
26.2,84.18,163.0
26.3,84.18,163.0
26.5,71.0,163.0
26.6,71.0,163.0
26.8,71.0,97.0
